time,total_energy,kinetic_energy,potential_energy,linear_momentum,angular_momentum,com_drift,shadow_energy,timestep
18.75,-1.7486711591053842e-07,1.7411133570217561e-07,-3.4897845161271403e-07,2.5499068364289609e-21,3.153846166652903e-05,4.3387626197952788e-19,-1.7486707354532796e-07,0.025000000000000001
19,-1.7486713211429593e-07,1.7411189617029715e-07,-3.4897902828459308e-07,1.7146207097062212e-21,3.1538461630067162e-05,4.3324271149021996e-19,-1.7486708975679001e-07,0.025000000000000001
19.25,-1.7486714852752652e-07,1.7411246404708667e-07,-3.4897961257461319e-07,3.4083374641095524e-21,3.1538461593588868e-05,4.3303132201118505e-19,-1.7486710617782479e-07,0.025000000000000001
19.5,-1.748671651500392e-07,1.7411303933151612e-07,-3.4898020448155532e-07,3.3947427841601339e-21,3.1538461557094989e-05,2.1693813098976394e-19,-1.7486712280824127e-07,0.025000000000000001
19.75,-1.7486718198164284e-07,1.7411362202249518e-07,-3.4898080400413802e-07,4.2404553875988432e-21,3.1538461520586059e-05,4.3324271149021996e-19,-1.7486713964784823e-07,0.025000000000000001
20,-1.748671990221415e-07,1.741142121188748e-07,-3.489814111410163e-07,4.2470594336304086e-21,3.1538461484062941e-05,2.1820063319629004e-19,-1.7486715669644964e-07,0.025000000000000001
20.25,-1.7486721627133672e-07,1.7411480961944101e-07,-3.4898202589077773e-07,4.2364880185210313e-21,3.1538461447526418e-05,2.1820063319629004e-19,-1.7486717395384692e-07,0.025000000000000001
20.5,-1.7486723372903003e-07,1.7411541452291443e-07,-3.4898264825194446e-07,4.2381415403116855e-21,3.1538461410977075e-05,2.1651566100559253e-19,-1.7486719141984155e-07,0.025000000000000001
20.75,-1.7486725139501944e-07,1.7411602682795026e-07,-3.489832782229697e-07,2.5460570881201004e-21,3.1538461374415664e-05,4.3324271149021996e-19,-1.748672090942314e-07,0.025000000000000001
21,-1.748672692690989e-07,1.7411664653313729e-07,-3.4898391580223619e-07,4.2381415403116855e-21,3.1538461337843004e-05,4.3324271149021996e-19,-1.7486722697681036e-07,0.025000000000000001
21.25,-1.7486728735106195e-07,1.74117273636993e-07,-3.4898456098805495e-07,2.5433037001749034e-21,3.1538461301259814e-05,4.3324271149021996e-19,-1.7486724506737188e-07,0.025000000000000001
21.5,-1.7486730564070006e-07,1.7411790813796537e-07,-3.4898521377866543e-07,3.3881317890172014e-21,3.1538461264666737e-05,4.3387626197952788e-19,-1.7486726336570732e-07,0.025000000000000001
21.75,-1.7486732413780102e-07,1.7411855003443018e-07,-3.489858741722312e-07,3.4144989710325696e-21,3.1538461228064566e-05,4.3324271149021996e-19,-1.7486728187160438e-07,0.025000000000000001
22,-1.748673428421511e-07,1.7411919932468947e-07,-3.4898654216684056e-07,2.5499068364289609e-21,3.1538461191454013e-05,6.4954698301677763e-19,-1.748673005848492e-07,0.025000000000000001
22.25,-1.7486736175353439e-07,1.7411985600696987e-07,-3.4898721776050426e-07,2.5460570881201004e-21,3.1538461154835789e-05,4.3324271149021996e-19,-1.7486731950522584e-07,0.025000000000000001
22.5,-1.7486738087173068e-07,1.7412052007942316e-07,-3.4898790095115385e-07,4.2364880185210313e-21,3.1538461118210735e-05,6.4968792844167982e-19,-1.7486733863251392e-07,0.025000000000000001
22.75,-1.7486740019651929e-07,1.7412119154012253e-07,-3.4898859173664182e-07,4.2434284802001673e-21,3.1538461081579528e-05,6.5081439296929187e-19,-1.7486735796649268e-07,0.025000000000000001
23,-1.748674197276772e-07,1.7412187038706095e-07,-3.4898929011473815e-07,2.5460570881201004e-21,3.1538461044942894e-05,4.3493012863280059e-19,-1.7486737750693902e-07,0.025000000000000001
23.25,-1.7486743946497811e-07,1.7412255661815181e-07,-3.4898999608312992e-07,5.0998136728579218e-21,3.1538461008301651e-05,4.3324271149021996e-19,-1.748673972536265e-07,0.025000000000000001
23.5,-1.748674594081947e-07,1.7412325023122505e-07,-3.4899070963941975e-07,1.6973713920800669e-21,3.1538460971656444e-05,2.1693813098976394e-19,-1.7486741720632773e-07,0.025000000000000001
23.75,-1.7486747955709621e-07,1.7412395122402821e-07,-3.4899143078112442e-07,1.7072494855162848e-21,3.1538460935008019e-05,4.3493012863280059e-19,-1.7486743736481179e-07,0.025000000000000001
24,-1.7486749991144912e-07,1.7412465959422383e-07,-3.4899215950567295e-07,4.2434284802001673e-21,3.1538460898357181e-05,6.5179845244714332e-19,-1.7486745772884513e-07,0.025000000000000001
24.25,-1.7486752047101904e-07,1.7412537533938701e-07,-3.4899289581040605e-07,3.4144989710325696e-21,3.1538460861704615e-05,4.3387626197952788e-19,-1.748674782981932e-07,0.025000000000000001
24.5,-1.7486754123556707e-07,1.741260984570068e-07,-3.4899363969257386e-07,4.2404553875988432e-21,3.1538460825051169e-05,2.1820063319629004e-19,-1.7486749907261699e-07,0.025000000000000001
24.75,-1.748675622048551e-07,1.7412682894448077e-07,-3.4899439114933588e-07,5.0846786198139282e-21,3.1538460788397471e-05,4.3387626197952788e-19,-1.7486752005187834e-07,0.025000000000000001
25,-1.7486758337863966e-07,1.7412756679911798e-07,-3.4899515017775764e-07,4.2381415403116855e-21,3.153846075174435e-05,6.5011058137271634e-19,-1.7486754123573356e-07,0.025000000000000001
25.25,-1.7486760475667695e-07,1.7412831201813403e-07,-3.4899591677481097e-07,2.6785533665288553e-21,3.153846071509255e-05,4.3387626197952788e-19,-1.7486756262393884e-07,0.025000000000000001
25.5,-1.748676263387214e-07,1.7412906459865113e-07,-3.4899669093737253e-07,3.3897857465426188e-21,3.1538460678442654e-05,6.5011058137271634e-19,-1.7486758421624844e-07,0.025000000000000001
